,code,road,desc,lat,lng,in_WD,in_H,out_WD,out_H,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
4578,84139,Bedok Sth Rd,Panasonic,1.32132832560695,103.92782177344944,306.15,91.21666666666667,537.85,126.55,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4579,84141,Bedok Sth Rd,OPP LION HME FOR ELDERS,1.32021707852141,103.93816948878941,247.3125,107.04838709677419,216.328125,62.903225806451616,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
4580,84149,Bedok Sth Rd,LION HME FOR ELDERS,1.32047933475714,103.93839375752798,299.4918032786885,87.38333333333334,375.37704918032784,146.71666666666667,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
4581,84151,Bedok Sth Ave 1,Casafina,1.31656999665769,103.93334015990408,405.93333333333334,98.73333333333333,544.1833333333333,144.36666666666667,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
4582,84159,Bedok Sth Ave 1,Opp Casafina/Temasek JC,1.31664972197451,103.93304055596909,383.8412698412698,115.24590163934427,281.22222222222223,79.8360655737705,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4583,84161,Bedok Sth Ave 1,BLK 3,1.321651111,103.9324025,53.75438596491228,16.666666666666668,38.94736842105263,9.456140350877194,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
4584,84169,Bedok Sth Ave 1,OPP BLK 3,1.322133056,103.9321144,26.283333333333335,6.482142857142857,53.7,19.464285714285715,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4585,84191,Bedok Nth Ave 3,Blk 220 CP,1.32566318975139,103.93533757051014,567.4761904761905,191.11475409836066,317.87301587301585,121.80327868852459,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
4586,84199,Bedok Nth Ave 3,Opp Blk 220 CP,1.32553283664673,103.9355563841307,275.6666666666667,102.21666666666667,417.1166666666667,155.53333333333333,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
4587,84201,Bedok Nth Ave 3,BEDOK RESVR STN EXIT A,1.33660054449421,103.93309401156243,1072.5,326.85,2699.7166666666667,875.1833333333333,BEDOK RESERVOIR,BDSZ02,BEDOK,BD,EAST REGION,ER
4588,84209,Bedok Nth Ave 3,Bedok Resvr Stn Exit B,1.33702513693776,103.93333589306084,2400.8571428571427,838.3968253968254,919.2380952380952,327.7936507936508,BEDOK RESERVOIR,BDSZ02,BEDOK,BD,EAST REGION,ER
4589,84211,Bedok Nth Ave 3,Blk 403,1.33004744658174,103.93443969781201,1581.5333333333333,534.6166666666667,1010.7333333333333,372.53333333333336,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
4590,84219,Bedok Nth Ave 3,Bet Blks 139/140,1.32940888887166,103.9348130555732,1249.3015873015872,487.55555555555554,1571.5396825396826,569.6349206349206,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
4591,84221,Bedok Nth Rd,Blk 109,1.33185798500032,103.93512740972372,1640.9166666666667,356.25,775.1333333333333,239.13333333333333,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
4592,84229,Bedok Nth Rd,Blk 111,1.3315995317556,103.93531396427683,712.6825396825396,213.42857142857142,1043.3333333333333,239.28571428571428,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
4593,84231,Bedok Nth Rd,Blk 85,1.33173871602405,103.93855496527853,2427.4,869.25,2027.9666666666667,806.8333333333334,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
4594,84239,Bedok Nth Rd,Opp Blk 85,1.33151836127292,103.9383568845181,936.1269841269841,414.8253968253968,1258.0,447.6031746031746,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
