,stop_id,road,desc,lat,lng,in_WD,in_H,out_WD,out_H,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
4447,81149,Guillemard Rd,The Sunny Spring Condo,1.312125692,103.8896603,414.8095238,147.2372881,269.6190476,108.8135593,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4448,81151,Guillemard Rd,Kong Hwa Sch,1.311533056,103.8878458,339.4,88.58333333,403.4833333,114.2333333,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4449,81159,Guillemard Rd,Opp Kong Hwa Sch,1.311678738,103.8874161,591.3548387,213.3166667,474.5806452,200.7,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4450,81161,Guillemard Rd,blk 56,1.310546388,103.8831815,470.4333333,185.0666667,659.05,244.8,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4451,81169,Guillemard Rd,Opp Blk 56,1.310783719,103.8831317,464.295082,236.0526316,446,199.754386,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4452,81171,Old Airport Rd,Blk 39,1.307517037,103.8850075,1247.825397,535.8571429,1229.730159,511.6190476,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4453,81179,Old Airport Rd,Blk 22,1.307260868,103.8849071,640.9166667,297.6166667,697.6333333,314.45,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4454,81181,Old Airport Rd,Dakota Stn Exit A/Blk 99,1.308455448,103.8884721,2189.825397,683.7419355,627.5873016,225.516129,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4455,81189,Old Airport Rd,Dakota Stn Exit B/Blk 60,1.308213086,103.8885088,597.4833333,202.95,2514.866667,756.4333333,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4456,81191,Dunman Rd,AFT OLD AIRPORT RD,1.309131667,103.8918,35.65517241,12.71186441,91.22413793,35.54237288,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
4457,81199,Dunman Rd,BEF OLD AIRPORT RD,1.308629373,103.8906311,82.27586207,24.89655172,205.6034483,35.75862069,MOUNTBATTEN,MPSZ01,MARINE PARADE,MP,CENTRAL REGION,CR
4458,81201,Geylang East Ctrl,Opp Geylang Meth Sec Sch,1.318693022,103.8830068,432.047619,130.952381,329.1904762,98.6984127,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4459,81209,Geylang East Ctrl,Geylang Meth Pr Sch,1.318436125,103.8842972,405.6666667,61.63333333,443.2833333,128.45,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4460,81211,Geylang East Ctrl,Geylang Polyclinic,1.319046664,103.8866675,1749.603175,617.9365079,1181.968254,422.7936508,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4461,81219,Geylang East Ctrl,Opp Geylang Polyclinic,1.318771413,103.886687,856.9833333,296.3166667,1464.083333,505.65,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
